iter	RMSE
494	266665.5578
495	266584.5501
496	266367.2221
497	266349.2578
498	266284.558
499	266180.96
500	266067.8181
501	265825.2625
502	265803.9507
503	265698.9799
504	265608.2121
505	265520.0755
506	265431.6758
507	265416.6472
508	265226.8449
509	265095.4139
510	264959.5154
511	264939.3289
512	264876.2428
513	264743.6941
514	264692.006
515	264609.0249
516	264474.0705
517	264355.4884
518	264306.5725
519	264188.7748
520	264166.1241
521	264119.6589
522	264092.7622
523	264042.4792
524	264007.9908
525	263942.4363
526	263826.6221
527	263795.9747
528	263721.1896
529	263620.7677
530	263511.3844
531	263449.1727
532	263326.6946
533	263209.9428
534	263184.5605
535	263126.0165
536	262912.5607
537	262881.9954
538	262807.2762
539	262785.6413
540	262678.2893
541	262628.219
542	262604.7844
543	262576.5862
544	262541.728
545	262411.2416
546	262382.6699
547	262327.7667
548	262294.4601
549	262280.3625
550	262250.3067
551	262181.5867
552	262099.2824
553	262051.1903
554	262030.9484
555	261999.4217
556	261963.5739
557	261790.9881
558	261749.7262
559	261589.2446
560	261406.813
561	261380.209
562	261366.892
563	261184.6348
564	261073.9657
565	260994.7177
566	260916.0633
567	260812.5446
568	260731.575
569	260651.1452
570	260611.4921
571	260531.7419
572	260488.4181
573	260420.3364
574	260386.7931
575	260352.5167
576	260323.5084
577	260293.1619
578	260245.8968
579	260153.5167
580	260078.883
581	260063.2385
582	260040.9933
583	259954.4105
584	259885.8323
585	259823.6916
586	259690.0998
587	259657.7237
588	259596.0311
589	259554.1029
590	259427.6881
591	259390.162
592	259329.6846
593	259263.4161
594	259236.4561
595	259218.9528
596	259159.5394
597	259058.5155
598	259026.0255
599	258862.663
600	258854.7852
601	258836.0916
602	258823.505
603	258765.2952
604	258749.8419
605	258733.6482
606	258669.2929
607	258577.2181
608	258522.5336
609	258494.5509
610	258434.1373
611	258389.4533
612	258365.7843
613	258334.5332
614	258182.2917
615	258120.2764
616	258048.5497
617	257950.4434
618	257917.144
619	257906.7047
620	257792.8519
621	257735.726
622	257699.5483
623	257677.1051
624	257653.9398
625	257591.611
626	257442.9719
627	257381.8355
628	257376.629
629	257215.8266
630	257197.3496
631	257131.482
632	257115.2125
633	257030.1276
634	256992.3379
635	256951.34
636	256915.7646
637	256883.7017
638	256872.4308
639	256806.0594
640	256777.0245
641	256709.1409
642	256671.7605
643	256599.0664
644	256546.1042
645	256493.4432
646	256461.0606
647	256423.3377
648	256389.9678
649	256383.013
650	256295.8815
651	256268.5115
652	256239.6716
653	256165.223
654	256103.0513
655	256036.3206
656	255934.6802
657	255865.438
658	255805.8902
659	255758.0534
660	255731.1241
661	255712.54
662	255700.6068
663	255679.7702
664	255646.532
665	255620.0077
666	255592.6524
667	255573.8392
668	255547.3087
669	255518.83
670	255474.5492
671	255454.5177
672	255391.3926
673	255293.4157
674	255208.917
675	255118.0804
676	254995.4847
677	254909.7905
678	254865.7793
679	254778.409
680	254715.5586
681	254696.7672
682	254640.5498
683	254506.4182
684	254393.4657
685	254303.4162
686	254261.7003
687	254218.451
688	254178.1075
689	254146.0246
690	254068.4877
691	253997.7244
692	253952.2442
693	253927.2414
694	253883.5589
695	253859.7055
696	253731.0082
697	253656.4804
698	253560.7048
699	253478.9718
700	253373.4691
701	253339.3768
702	253206.4604
703	253184.2842
704	253111.4011
705	253068.5411
706	253011.8573
707	252902.5894
708	252845.5264
709	252790.557
710	252769.2297
711	252721.2354
712	252684.3253
713	252619.5884
714	252447.637
715	252378.0987
716	252306.9305
717	252261.3117
718	252211.8326
719	252178.0452
720	252150.3576
721	252101.2309
722	252090.1439
723	252070.215
724	252036.3957
725	251995.9567
726	251970.6165
727	251932.1655
728	251909.539
729	251882.5151
730	251854.3193
731	251837.3132
732	251798.6827
733	251761.3068
734	251736.4473
735	251708.1167
736	251678.324
737	251629.7949
738	251553.784
739	251520.5153
740	251475.4214
741	251451.6511
742	251412.2328
743	251407.2403
744	251340.4187
745	251313.7303
746	251242.8143
747	251163.7605
748	251132.4346
749	251017.131
750	251006.1741
751	250909.9666
752	250880.2658
753	250747.1851
754	250700.3426
755	250655.484
756	250611.9916
757	250580.6708
758	250547.726
759	250521.8394
760	250474.9467
761	250406.8293
762	250388.8341
763	250341.48
764	250321.2396
765	250246.1823
766	250228.6468
767	250199.0973
768	250166.7739
769	250115.3893
770	250001.4208
771	249929.4838
772	249835.1805
773	249761.7294
774	249734.6196
775	249667.4169
776	249605.2786
777	249516.5309
778	249485.0036
779	249396.4583
780	249369.1292
781	249328.1534
782	249303.511
783	249292.0263
784	249271.3329
785	249251.2162
786	249227.9102
787	249142.1616
788	249108.2556
789	249038.8163
790	249017.5355
791	248999.821
792	248989.5986
793	248894.5866
794	248886.2873
795	248838.3551
796	248741.4309
797	248705.3394
798	248672.9347
799	248639.4324
800	248528.2776
801	248498.4644
802	248466.3486
803	248440.8811
804	248412.9646
805	248383.3178
806	248188.6108
807	248164.1327
808	248136.2443
809	248104.7559
810	248079.8342
811	247999.3546
812	247934.7412
813	247901.8407
814	247872.0459
815	247795.1377
816	247766.9719
817	247705.7746
818	247622.8648
819	247567.22
820	247546.0937
821	247537.0196
822	247501.5976
823	247400.7763
824	247333.4546
825	247306.8704
826	247266.5752
827	247208.2126
828	247174.0598
829	247111.729
830	247050.7224
831	247034.4194
832	247021.6644
833	246845.7628
834	246785.6195
835	246666.7044
836	246613.5197
837	246598.3832
838	246563.2484
839	246520.4546
840	246515.8882
841	246462.7536
842	246427.1138
843	246392.4599
844	246355.1484
845	246285.5626
846	246271.8368
847	246209.2552
848	246179.582
849	246096.6503
850	246037.3796
851	246021.455
852	245965.6539
853	245883.4373
854	245853.2531
855	245834.2249
856	245776.112
857	245716.5389
858	245656.9701
859	245563.4255
860	245522.511
861	245476.0649
862	245458.0584
863	245412.7387
864	245380.6508
865	245369.6689
866	245290.2041
867	245168.2333
868	245084.6876
869	245018.1747
870	244940.004
871	244931.6799
872	244894.0416
873	244866.7325
874	244819.8355
875	244758.0472
876	244730.1691
877	244597.1344
878	244561.4764
879	244540.0951
880	244527.2788
881	244261.3237
882	244223.7591
883	244194.0477
884	244163.3493
885	244112.15
886	244077.296
887	244011.4198
888	243962.1316
889	243933.9019
890	243898.6633
891	243888.6546
892	243813.228
893	243785.1965
894	243698.0237
895	243659.8521
896	243620.5828
897	243587.8884
898	243571.7207
899	243517.0565
900	243444.6849
901	243419.4169
902	243385.9622
903	243141.462
904	243091.2724
905	243043.9537
906	242997.1996
907	242939.8569
908	242910.6662
909	242870.938
910	242862.4919
911	242824.7487
912	242767.317
913	242699.8635
914	242649.9742
915	242608.784
916	242584.908
917	242556.1643
918	242550.7623
919	242529.2573
920	242466.4645
921	242429.8446
922	242366.3984
923	242340.0539
924	242314.1824
925	242295.2308
926	242262.6219
927	242206.1456
928	242133.7417
929	242093.3251
930	242089.4542
931	242046.8249
932	241990.8079
933	241953.4903
934	241941.9749
935	241914.1298
936	241897.6614
937	241869.5291
938	241848.9553
939	241779.4891
940	241713.0688
941	241700.2259
942	241676.5443
943	241645.0005
944	241627.1707
945	241537.3854
946	241465.3625
947	241439.8034
948	241399.6061
949	241366.9948
950	241346.6279
951	241337.4143
952	241285.7295
953	241251.7769
954	241189.814
955	241142.794
956	241129.101
957	241083.8809
958	241050.7619
959	241028.1348
960	240924.1775
961	240914.0324
962	240838.5597
963	240832.634
964	240815.7504
965	240734.4298
966	240659.2455
967	240636.7821
968	240617.8313
969	240557.1366
970	240530.3327
971	240494.856
972	240417.99
973	240376.002
974	240371.983
975	240047.0501
976	239937.822
977	239889.6146
978	239843.512
979	239829.9684
980	239789.3594
981	239736.1845
982	239721.5662
983	239655.8527
984	239642.3616
985	239624.7667
986	239545.4328
987	239464.8042
988	239449.5821
989	239397.4072
990	239383.243
991	239349.7087
992	239317.4183
993	239243.0144
994	239179.6822
995	239168.4497
996	239100.9156
997	239059.8915
998	239051.0506
999	239036.9644
