iter	Passed	Remaining
422	2285	3117
423	2289	3110
424	2296	3106
425	2299	3098
426	2304	3092
427	2309	3086
428	2314	3079
429	2317	3072
430	2322	3066
431	2326	3058
432	2331	3052
433	2334	3044
434	2338	3037
435	2343	3030
436	2347	3024
437	2352	3018
438	2357	3012
439	2361	3005
440	2365	2998
441	2369	2991
442	2372	2983
443	2378	2978
444	2382	2971
445	2386	2963
446	2390	2957
447	2394	2950
448	2400	2945
449	2403	2937
450	2406	2929
451	2422	2936
452	2428	2932
453	2433	2927
454	2438	2921
455	2444	2916
456	2448	2909
457	2453	2903
458	2457	2896
459	2462	2890
460	2466	2884
461	2470	2877
462	2475	2870
463	2480	2865
464	2484	2858
465	2488	2851
466	2494	2846
467	2499	2841
468	2504	2835
469	2510	2830
470	2519	2829
471	2524	2823
472	2530	2819
473	2535	2813
474	2540	2807
475	2543	2800
476	2548	2794
477	2556	2792
478	2562	2786
479	2569	2783
480	2574	2778
481	2579	2772
482	2583	2765
483	2587	2758
484	2591	2752
485	2596	2746
486	2600	2739
487	2604	2732
488	2610	2728
489	2614	2721
490	2620	2716
491	2624	2710
492	2629	2704
493	2634	2698
494	2639	2693
495	2644	2687
496	2650	2682
497	2654	2675
498	2658	2669
499	2662	2662
500	2667	2656
501	2673	2651
502	2676	2644
503	2682	2639
504	2685	2632
505	2691	2627
506	2696	2622
507	2701	2616
508	2704	2609
509	2709	2603
510	2714	2598
511	2719	2592
512	2723	2585
513	2727	2579
514	2731	2572
515	2736	2566
516	2740	2559
517	2744	2553
518	2748	2547
519	2752	2540
520	2755	2533
521	2760	2528
522	2766	2522
523	2769	2516
524	2774	2509
525	2778	2503
526	2782	2497
527	2785	2490
528	2789	2483
529	2794	2478
530	2799	2472
531	2803	2466
532	2809	2461
533	2815	2457
534	2824	2454
535	2829	2449
536	2835	2444
537	2839	2438
538	2844	2432
539	2849	2426
540	2853	2421
541	2858	2415
542	2863	2409
543	2867	2403
544	2873	2398
545	2877	2392
546	2881	2386
547	2886	2380
548	2889	2374
549	2895	2368
550	2899	2362
551	2902	2355
552	2907	2349
553	2911	2343
554	2915	2337
555	2919	2331
556	2922	2324
557	2926	2317
558	2929	2311
559	2933	2304
560	2939	2299
561	2947	2297
562	2954	2293
563	2960	2288
564	2965	2283
565	2971	2278
566	2976	2272
567	2980	2266
568	2984	2260
569	2988	2254
570	2992	2248
571	2996	2242
572	3000	2235
573	3004	2230
574	3008	2224
575	3013	2218
576	3019	2213
577	3026	2209
578	3031	2204
579	3038	2200
580	3042	2194
581	3046	2188
582	3051	2182
583	3056	2176
584	3059	2170
585	3063	2164
